143,"Director of Photography","Director de fotografía","AR","Los directores de fotografía se ocupan de la iluminación del set y de la filmación de una película o producción televisiva."
144,"Disc Jockey","Disc-jockey","AR","Los disc-jockeys seleccionan y reproducen la música para su público."
145,"Dispatcher","Operador","AR","Los teleoperadores responden llamadas telefónicas de pedidos de servicio o ayuda de emergencia, y coordinan a los equipos encargados de dar respuestas."
146,"Doctor","Médico","HE","Los médicos hacen diagnósticos y tratan a pacientes enfermos o lesionados."
147,"Drafter","Dibujante técnico","HE","Los dibujantes técnicos confeccionan dibujos detallados que se utilizan para la construcción de casas, oficinas, máquinas y sistemas eléctricos."
148,"Driving Instructor","Instructor de conducción","HE","Los instructores de conducción les enseñan a los conductores principiantes y con experiencia a manejar automóviles y otros vehículos de manera segura y legal."
149,"Dry Cleaner","Empleado del servicio de limpieza en seco","HE","Los empleados del servicio de limpieza en seco utilizan equipos y técnicas de limpieza sin agua para eliminar la suciedad y las manchas de prendas, cortinas y otras clases de telas."
150,"Drywaller","Mampostero","HE","Los mamposteros instalan paneles de mampostería que forman las paredes interiores y los techos de las viviendas, las oficinas, los negocios y demás edificios."
151,"Ecologist","Ecologista","AG,SC","Los ecologistas son científicos que estudian la forma en que los seres vivos interactúan entre sí y con los ambientes que los rodean."
152,"Economic Development Officer","Funcionario de desarrollo económico","GO","Los funcionarios de desarrollo económico proponen planes y proyectos para alentar la inversión comercial y al crecimiento económico en zonas urbanas y rurales."
153,"Economist","Economista","BU,FI,GO","Los economistas estudian los factores que influyen en la producción, la distribución y el consumo de bienes y servicios."
154,"Editor","Editor","AR","Los editores seleccionan, revisan y preparan libros, artículos y otros materiales escritos para su publicación."
155,"Electrical Engineering Tech","Técnico en ingeniería eléctrica","AR","Los técnicos en ingeniería eléctrica ayudan a los ingenieros a desarrollar, fabricar y mantener una amplia variedad de productos y equipos eléctricos."
156,"Electrical Engineer","Ingeniero electricista","IT,MF,SC","Los ingenieros electricistas diseñan y fabrican equipos eléctricos, o trabajan en la producción, transmisión y distribución de electricidad."
157,"Electrician","Electricista","IT,MF,SC","Los electricistas se encargan de instalar, reparar y mantener sistemas eléctricos donde se los necesite."
158,"Electroneurodiagnostic Tech","Técnico en electroneurodiagnóstico","IT,MF,SC","Los técnicos en electroneurodiagnóstico utilizan equipos para medir y registrar la actividad eléctrica en el cerebro y el sistema nervioso de los pacientes"
159,"Electronics Assembler","Montador electrónico","IT,MF,SC","Los montadores electrónicos ensamblan las piezas electrónicas de computadoras, equipos estereofónicos, médicos, entre otros."
